127.0.0.1 - - [13/Sep/2021:18:20:22 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/Sep/2021:18:20:29 +0530] "GET /DemoApp/add?num1=5&num2=6 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [13/Sep/2021:18:20:30 +0530] "GET /DemoApp/add?num1=5&num2=6 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [13/Sep/2021:18:20:37 +0530] "GET /DemoApp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Sep/2021:18:20:37 +0530] "GET /DemoApp/ HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [13/Sep/2021:18:23:24 +0530] "GET /DemoApp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2021:18:23:29 +0530] "POST /DemoApp/add HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [13/Sep/2021:18:40:41 +0530] "GET /DemoApp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Sep/2021:18:40:44 +0530] "POST /DemoApp/add HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [13/Sep/2021:18:40:49 +0530] "GET /DemoApp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Sep/2021:18:41:03 +0530] "GET /DemoApp/add?num1=19&num2=2 HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [13/Sep/2021:18:41:07 +0530] "GET /DemoApp/add?num1=19&num2=2 HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [13/Sep/2021:18:41:07 +0530] "GET /DemoApp/add?num1=19&num2=2 HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [13/Sep/2021:18:41:08 +0530] "GET /DemoApp/add?num1=19&num2=2 HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [13/Sep/2021:18:41:08 +0530] "GET /DemoApp/add?num1=19&num2=2 HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [13/Sep/2021:18:41:15 +0530] "GET /DemoApp HTTP/1.1" 302 -
